protein	strand_corrected_position	score	normalised_coverage
tfip11	3	6713	0.061911481245792176
tfip11	4	6128	0.056516245653838
tfip11	5	5650	0.05210783093083954
tfip11	6	5365	0.04947938282193878
tfip11	7	5227	0.048206660579734203
tfip11	8	5099	0.04702616458696474
tfip11	9	5006	0.04616846046721818
tfip11	10	4924	0.045412205221850244
tfip11	11	4834	0.04458216897693421
tfip11	12	4745	0.0437613553569617
tfip11	13	4674	0.04310654898597239
tfip11	14	4528	0.04176004574421972
tfip11	15	4416	0.04072711175054644
tfip11	16	4313	0.03977718138136476
tfip11	17	4219	0.03891025463667469
tfip11	18	4148	0.03825544826568538
tfip11	19	4072	0.03755452876997851
tfip11	20	3986	0.03676138302483653
tfip11	21	3919	0.03614346715362127
tfip11	22	3853	0.03553477390734951
tfip11	23	3758	0.034658624537715926
tfip11	24	3704	0.034160602790766305
tfip11	25	3653	0.03369024891864723
tfip11	26	3613	0.03332134392090677
tfip11	27	3542	0.032666537549917454
tfip11	28	3487	0.03215929317802433
tfip11	29	3424	0.03157826780658311
tfip11	30	3380	0.031172472309068607
tfip11	31	3327	0.030683673187062502
tfip11	32	3265	0.030111870440564792
tfip11	33	3192	0.02943861881968846
tfip11	34	3152	0.029069713821948003
tfip11	35	3081	0.02841490745095869
tfip11	36	3034	0.027981444078613655
tfip11	37	2958	0.027280524582906786
tfip11	38	2886	0.026616495586973963
tfip11	39	2823	0.026035470215532746
tfip11	40	2765	0.02550055796880908
tfip11	41	2711	0.025002536221859467
tfip11	42	2647	0.024412288225474733
tfip11	43	2606	0.024034160602790768
tfip11	44	2544	0.023462357856293057
tfip11	45	2475	0.02282599673519077
tfip11	46	2429	0.022401755987789245
tfip11	47	2386	0.022005183115218253
tfip11	48	2352	0.021691613867138866
tfip11	49	2330	0.021488716118381615
tfip11	50	2296	0.021175146870302225
tfip11	51	2261	0.020852354997279325
tfip11	52	2246	0.020714015623126653
tfip11	53	2216	0.020437336874821313
tfip11	54	2197	0.020262107000894595
tfip11	55	2177	0.020077654502024367
tfip11	56	2165	0.019966983002702228
tfip11	57	2146	0.019791753128775513
tfip11	58	2138	0.01971797212922742
tfip11	59	2125	0.019598078004961772
tfip11	60	2118	0.019533519630357193
tfip11	61	2106	0.019422848131035054
tfip11	62	2095	0.01932139925665643
tfip11	63	2088	0.01925684088205185
tfip11	64	2075	0.0191369467577862
tfip11	65	2071	0.019100056258012154
tfip11	66	2058	0.018980162133746505
tfip11	67	2053	0.01893404900902895
tfip11	68	2040	0.0188141548847633
tfip11	69	2027	0.01869426076049765
tfip11	70	2020	0.018629702385893072
tfip11	71	2013	0.018565144011288493
tfip11	72	2009	0.018528253511514447
tfip11	73	2003	0.018472917761853377
tfip11	74	1992	0.018371468887474752
tfip11	75	1976	0.01822390688837857
tfip11	76	1964	0.018113235389056435
tfip11	77	1962	0.01809479013916941
tfip11	78	1961	0.0180855675142259
tfip11	79	1958	0.018057899639395365
tfip11	80	1957	0.018048677014451852
tfip11	81	1954	0.01802100913962132
tfip11	82	1950	0.017984118639847273
tfip11	83	1947	0.01795645076501674
tfip11	84	1944	0.017928782890186203
tfip11	85	1941	0.01790111501535567
tfip11	86	1936	0.017855001890638114
tfip11	87	1933	0.017827334015807578
tfip11	88	1932	0.017818111390864068
tfip11	89	1925	0.01775355301625949
tfip11	90	1923	0.017735107766372465
tfip11	91	1917	0.017679772016711396
tfip11	92	1913	0.01764288151693735
tfip11	93	1899	0.01751376476772819
tfip11	94	1896	0.017486096892897658
tfip11	95	1891	0.0174399837681801
tfip11	96	1887	0.017403093268406052
tfip11	97	1880	0.017338534893801473
tfip11	98	1872	0.017264753894253384
tfip11	99	1865	0.0172001955196488
dhx35	-100	3301	0.9353924624539529
dhx35	-99	3302	0.9356758288466988
dhx35	-98	3307	0.9370926608104279
dhx35	-97	3312	0.938509492774157
dhx35	-96	3314	0.9390762255596486
dhx35	-95	3317	0.9399263247378861
dhx35	-94	3321	0.9410597903088693
dhx35	-93	3324	0.9419098894871069
dhx35	-92	3327	0.9427599886653443
dhx35	-91	3331	0.9438934542363275
dhx35	-90	3333	0.9444601870218192
dhx35	-89	3341	0.9467271181637857
dhx35	-88	3346	0.9481439501275148
dhx35	-87	3348	0.9487106829130065
dhx35	-86	3352	0.9498441484839898
dhx35	-85	3356	0.950977614054973
dhx35	-84	3359	0.9518277132332106
dhx35	-83	3362	0.952677812411448
dhx35	-82	3369	0.9546613771606688
dhx35	-81	3375	0.9563615755171436
dhx35	-80	3380	0.9577784074808727
dhx35	-79	3382	0.9583451402663644
dhx35	-78	3385	0.9591952394446018
dhx35	-77	3396	0.9623122697648059
dhx35	-76	3403	0.9642958345140267
dhx35	-75	3408	0.9657126664777558
dhx35	-74	3418	0.968546330405214
dhx35	-73	3433	0.9727968262964013
dhx35	-72	3443	0.9756304902238595
dhx35	-71	3449	0.9773306885803343
dhx35	-70	3456	0.9793142533295551
dhx35	-69	3461	0.9807310852932842
dhx35	-68	3463	0.9812978180787758
dhx35	-67	3472	0.9838481156134883
dhx35	-66	3474	0.9844148483989799
dhx35	-65	3475	0.9846982147917257
dhx35	-64	3477	0.9852649475772174
dhx35	-63	3478	0.9855483139699631
dhx35	-62	3479	0.985831680362709
dhx35	-61	3480	0.9861150467554548
dhx35	-60	3480	0.9861150467554548
dhx35	-59	3481	0.9863984131482006
dhx35	-58	3481	0.9863984131482006
dhx35	-57	3481	0.9863984131482006
dhx35	-56	3484	0.9872485123264381
dhx35	-55	3484	0.9872485123264381
dhx35	-54	3485	0.9875318787191839
dhx35	-53	3485	0.9875318787191839
dhx35	-52	3485	0.9875318787191839
dhx35	-51	3485	0.9875318787191839
dhx35	-50	3486	0.9878152451119298
dhx35	-49	3487	0.9880986115046756
dhx35	-48	3489	0.9886653442901672
dhx35	-47	3489	0.9886653442901672
dhx35	-46	3490	0.988948710682913
dhx35	-45	3490	0.988948710682913
dhx35	-44	3491	0.9892320770756589
dhx35	-43	3491	0.9892320770756589
dhx35	-42	3492	0.9895154434684047
dhx35	-41	3493	0.9897988098611504
dhx35	-40	3493	0.9897988098611504
dhx35	-39	3493	0.9897988098611504
dhx35	-38	3493	0.9897988098611504
dhx35	-37	3493	0.9897988098611504
dhx35	-36	3497	0.9909322754321338
dhx35	-35	3498	0.9912156418248795
dhx35	-34	3498	0.9912156418248795
dhx35	-33	3498	0.9912156418248795
dhx35	-32	3499	0.9914990082176254
dhx35	-31	3499	0.9914990082176254
dhx35	-30	3503	0.9926324737886086
dhx35	-29	3503	0.9926324737886086
dhx35	-28	3503	0.9926324737886086
dhx35	-27	3503	0.9926324737886086
dhx35	-26	3503	0.9926324737886086
dhx35	-25	3503	0.9926324737886086
dhx35	-24	3503	0.9926324737886086
dhx35	-23	3503	0.9926324737886086
dhx35	-22	3505	0.9931992065741003
dhx35	-21	3505	0.9931992065741003
dhx35	-20	3507	0.9937659393595919
dhx35	-19	3508	0.9940493057523377
dhx35	-18	3509	0.9943326721450836
dhx35	-17	3509	0.9943326721450836
dhx35	-16	3509	0.9943326721450836
dhx35	-15	3511	0.9948994049305753
dhx35	-14	3511	0.9948994049305753
dhx35	-13	3512	0.995182771323321
dhx35	-12	3512	0.995182771323321
dhx35	-11	3512	0.995182771323321
dhx35	-10	3513	0.9954661377160668
dhx35	-9	3514	0.9957495041088127
dhx35	-8	3514	0.9957495041088127
dhx35	-7	3514	0.9957495041088127
dhx35	-6	3514	0.9957495041088127
dhx35	-5	3514	0.9957495041088127
dhx35	-4	3515	0.9960328705015585
dhx35	-3	3516	0.9963162368943044
dhx35	-2	3519	0.9971663360725418
dhx35	-1	3522	0.9980164352507792
dhx35	0	3529	1.0
dhx35	1	2010	0.5695664494190988
dhx35	2	629	0.178237461037121
dhx35	3	509	0.14423349390762255
dhx35	4	469	0.13289883819778975
dhx35	5	444	0.12581467837914423
dhx35	6	421	0.11929725134599037
dhx35	7	408	0.1156134882402947
dhx35	8	395	0.11192972513459903
dhx35	9	393	0.11136299234910739
dhx35	10	383	0.1085293284216492
dhx35	11	380	0.10767922924341174
dhx35	12	375	0.10626239727968263
dhx35	13	371	0.10512893170869934
dhx35	14	363	0.10286200056673278
dhx35	15	357	0.10116180221025786
dhx35	16	352	0.09974497024652876
dhx35	17	345	0.09776140549730802
dhx35	18	340	0.09634457353357892
dhx35	19	337	0.09549447435534146
dhx35	20	331	0.09379427599886653
dhx35	21	327	0.09266081042788325
dhx35	22	324	0.0918107112496458
dhx35	23	318	0.09011051289317087
dhx35	24	315	0.08926041371493341
dhx35	25	311	0.08812694814395013
dhx35	26	306	0.08671011618022102
dhx35	27	300	0.0850099178237461
dhx35	28	297	0.08415981864550864
dhx35	29	292	0.08274298668177954
dhx35	30	291	0.08245962028903372
dhx35	31	285	0.08075942193255879
dhx35	32	283	0.08019268914706716
dhx35	33	282	0.07990932275432133
dhx35	34	280	0.0793425899688297
dhx35	35	271	0.07679229243411731
dhx35	36	267	0.07565882686313403
dhx35	37	262	0.07424199489940493
dhx35	38	253	0.07169169736469255
dhx35	39	253	0.07169169736469255
dhx35	40	247	0.06999149900821762
dhx35	41	244	0.06914139982998016
dhx35	42	242	0.06857466704448853
dhx35	43	238	0.06744120147350524
dhx35	44	234	0.06630773590252197
dhx35	45	233	0.06602436950977614
dhx35	46	230	0.06517427033153868
dhx35	47	227	0.06432417115330122
dhx35	48	225	0.06375743836780957
dhx35	49	221	0.0626239727968263
dhx35	50	218	0.06177387361858883
dhx35	51	217	0.06149050722584302
dhx35	52	214	0.06064040804760555
dhx35	53	213	0.060357041654859736
dhx35	54	213	0.060357041654859736
dhx35	55	211	0.05979030886936809
dhx35	56	210	0.05950694247662227
dhx35	57	209	0.059223576083876454
dhx35	58	206	0.05837347690563899
dhx35	59	205	0.05809011051289317
dhx35	60	204	0.05780674412014735
dhx35	61	202	0.05724001133465571
dhx35	62	199	0.05638991215641825
dhx35	63	198	0.05610654576367243
dhx35	64	197	0.05582317937092661
dhx35	65	195	0.055256446585434965
dhx35	66	195	0.055256446585434965
dhx35	67	195	0.055256446585434965
dhx35	68	192	0.054406347407197506
dhx35	69	191	0.05412298101445168
dhx35	70	191	0.05412298101445168
dhx35	71	191	0.05412298101445168
dhx35	72	191	0.05412298101445168
dhx35	73	191	0.05412298101445168
dhx35	74	186	0.05270614905072259
dhx35	75	185	0.052422782657976764
dhx35	76	184	0.05213941626523094
dhx35	77	184	0.05213941626523094
dhx35	78	183	0.05185604987248512
dhx35	79	183	0.05185604987248512
dhx35	80	183	0.05185604987248512
dhx35	81	183	0.05185604987248512
dhx35	82	182	0.051572683479739305
dhx35	83	180	0.05100595069424766
dhx35	84	180	0.05100595069424766
dhx35	85	180	0.05100595069424766
dhx35	86	179	0.05072258430150184
dhx35	87	179	0.05072258430150184
dhx35	88	179	0.05072258430150184
dhx35	89	179	0.05072258430150184
dhx35	90	178	0.05043921790875602
dhx35	91	177	0.0501558515160102
dhx35	92	177	0.0501558515160102
dhx35	93	176	0.04987248512326438
dhx35	94	175	0.049589118730518564
dhx35	95	174	0.04930575233777274
dhx35	96	174	0.04930575233777274
dhx35	97	172	0.0487390195522811
dhx35	98	171	0.04845565315953528
dhx35	99	171	0.04845565315953528
